                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.0519,                 3.8413,                0.35611,                0.91275,                 1.2101,                 0.8335,                0.76343,                0.86021,                0.61939,                0.80061,                0.65725,                0.70949,                0.38403,                0.99817,                 3.2394,                0.34067,                0.80746,                 1.1646,               0.005545,               0.005545,               0.005545
                     48,                  1.051,                 3.8333,                 0.3565,                0.92071,                 1.2105,                0.84052,                0.75693,                0.85601,                0.61174,                0.78349,                0.66816,                0.70431,                0.37975,                 1.0047,                 3.2459,                0.34209,                0.81859,                 1.1721,               0.005446,               0.005446,               0.005446
                     49,                  1.039,                  3.798,                0.35145,                0.90696,                  1.204,                 0.8326,                 0.7623,                0.85861,                0.61846,                0.78606,                0.65645,                0.70171,                0.38144,                0.99991,                 3.2375,                0.33869,                0.79833,                 1.1709,               0.005347,               0.005347,               0.005347
                     50,                 1.0354,                 3.7816,                0.34988,                0.90276,                 1.1982,                0.83419,                0.76387,                0.85667,                0.61778,                0.78955,                 0.6661,                0.70349,                0.38173,                 1.0021,                 3.2218,                 0.3394,                 0.8001,                 1.1655,               0.005248,               0.005248,               0.005248
                     51,                 1.0361,                  3.776,                0.35148,                0.89653,                 1.2002,                0.84409,                0.75626,                0.85975,                 0.6195,                0.78485,                0.66905,                0.70901,                0.38286,                0.98984,                 3.2227,                0.33958,                0.79701,                 1.1574,               0.005149,               0.005149,               0.005149
                     52,                 1.0362,                 3.7357,                0.35193,                0.89453,                 1.1952,                0.84134,                0.75224,                0.86075,                0.61944,                0.80196,                0.65944,                0.71123,                0.38756,                 1.0011,                 3.2181,                0.33771,                0.79739,                 1.1614,                0.00505,                0.00505,                0.00505
                     53,                 1.0294,                 3.7287,                0.35223,                0.88937,                 1.1929,                 0.8385,                0.76208,                0.86213,                0.62353,                0.79984,                0.65945,                 0.7109,                0.38651,                 0.9853,                 3.1922,                0.33671,                 0.7922,                 1.1547,               0.004951,               0.004951,               0.004951
                     54,                 1.0237,                  3.712,                0.34837,                0.88579,                 1.1961,                0.84632,                0.75858,                0.86098,                0.62562,                0.79286,                0.67102,                0.70909,                0.38858,                 0.9806,                 3.1788,                0.33564,                0.78856,                 1.1543,               0.004852,               0.004852,               0.004852
                     55,                 1.0353,                 3.6899,                0.35046,                0.88527,                 1.1989,                0.84783,                0.75335,                0.86108,                0.62413,                0.80122,                0.66257,                0.71262,                0.39143,                0.98918,                 3.1765,                 0.3342,                0.78526,                 1.1567,               0.004753,               0.004753,               0.004753
                     56,                 1.0336,                 3.6985,                0.34952,                0.88791,                 1.1961,                 0.8453,                0.75755,                0.86371,                0.62721,                0.79651,                 0.6661,                0.71171,                0.39007,                0.98414,                 3.1663,                0.33477,                0.78189,                 1.1542,               0.004654,               0.004654,               0.004654
                     57,                 1.0212,                 3.6863,                0.34613,                0.88015,                 1.1962,                 0.8426,                 0.7637,                0.86347,                0.62533,                0.79771,                0.67733,                0.72097,                0.39864,                0.98154,                 3.1406,                 0.3339,                0.78397,                 1.1572,               0.004555,               0.004555,               0.004555
                     58,                 1.0253,                 3.6389,                0.34876,                0.88378,                 1.1902,                0.84831,                0.75657,                 0.8655,                0.62928,                0.81056,                0.66212,                0.71779,                0.39968,                0.97766,                 3.1291,                0.33448,                0.77849,                 1.1515,               0.004456,               0.004456,               0.004456
                     59,                 1.0121,                   3.62,                0.34785,                0.86989,                 1.1875,                0.84129,                0.76521,                0.86675,                0.63126,                0.79446,                0.67867,                0.71664,                0.39853,                 0.9758,                 3.1304,                0.33399,                0.77073,                 1.1478,               0.004357,               0.004357,               0.004357
                     60,                 1.0181,                 3.6269,                0.34891,                0.87397,                 1.1895,                0.83704,                0.77647,                0.86812,                0.63079,                0.79185,                0.67643,                0.71816,                0.39896,                 0.9725,                 3.1051,                0.33232,                0.77699,                 1.1434,               0.004258,               0.004258,               0.004258
                     61,                 1.0127,                 3.6126,                 0.3422,                0.86513,                 1.1844,                0.84661,                0.75782,                0.86392,                0.62954,                0.79859,                0.66883,                0.71344,                0.39978,                0.97662,                 3.1194,                0.33318,                0.77753,                 1.1483,               0.004159,               0.004159,               0.004159
                     62,                 1.0128,                 3.6174,                0.34673,                0.86855,                 1.1871,                0.84575,                0.76453,                0.86732,                0.62967,                0.80067,                0.67457,                0.71905,                0.40203,                0.97509,                  3.093,                0.33214,                0.76821,                 1.1454,                0.00406,                0.00406,                0.00406
                     63,                 1.0075,                 3.5952,                0.34442,                0.85626,                 1.1823,                 0.8448,                0.76632,                0.87031,                0.63329,                0.80868,                0.67084,                0.72202,                0.40764,                0.97201,                 3.0615,                0.33107,                0.76876,                 1.1452,               0.003961,               0.003961,               0.003961
                     64,                 1.0019,                  3.585,                0.34487,                0.85455,                 1.1768,                0.84039,                0.76968,                0.86686,                0.63185,                0.80436,                0.67531,                 0.7228,                0.40678,                0.97059,                 3.0731,                0.33031,                0.77055,                 1.1459,               0.003862,               0.003862,               0.003862
                     65,                 1.0031,                 3.5754,                0.34266,                0.85644,                 1.1804,                0.84074,                0.76811,                0.86866,                0.63346,                0.80725,                0.67709,                 0.7256,                0.40709,                 0.9685,                   3.09,                0.33098,                0.76852,                 1.1448,               0.003763,               0.003763,               0.003763
                     66,                0.99973,                 3.5655,                0.34365,                0.85094,                 1.1763,                0.83234,                0.78086,                0.87124,                0.63602,                0.80677,                 0.6694,                0.72534,                 0.4124,                0.97083,                 3.0455,                0.33071,                0.76336,                 1.1442,               0.003664,               0.003664,               0.003664
                     67,                0.99005,                 3.4952,                0.33891,                  0.838,                 1.1689,                0.84542,                0.76834,                0.87058,                0.63441,                0.79156,                0.68292,                  0.724,                0.40992,                0.97186,                 3.0522,                  0.329,                0.75863,                 1.1406,               0.003565,               0.003565,               0.003565
                     68,                0.99624,                 3.5179,                0.34224,                0.84435,                 1.1732,                0.85635,                0.76029,                0.86997,                0.63576,                0.80238,                0.68186,                0.73544,                0.41626,                0.96595,                 3.0341,                0.32838,                0.75325,                 1.1388,               0.003466,               0.003466,               0.003466
                     69,                0.99376,                 3.4945,                0.33948,                0.84017,                 1.1724,                0.82961,                0.78064,                0.86969,                0.63558,                0.79301,                0.68202,                0.72711,                 0.4122,                0.96749,                 3.0373,                 0.3279,                0.75848,                 1.1411,               0.003367,               0.003367,               0.003367
                     70,                0.99129,                 3.4978,                0.34099,                0.83956,                 1.1702,                0.83988,                0.76699,                0.86934,                 0.6342,                0.81514,                0.66749,                0.72826,                 0.4139,                0.96715,                 3.0441,                 0.3274,                0.75726,                 1.1386,               0.003268,               0.003268,               0.003268
                     71,                0.98441,                 3.4764,                0.33958,                0.83566,                 1.1685,                0.84699,                0.77124,                 0.8709,                0.63716,                0.79144,                 0.6814,                0.72724,                0.41181,                0.96298,                 3.0406,                0.32638,                0.75621,                 1.1395,               0.003169,               0.003169,               0.003169
                     72,                0.97888,                 3.4711,                0.33713,                0.83325,                 1.1713,                0.84147,                0.77034,                0.86958,                0.63753,                0.80025,                0.68538,                0.73152,                0.41398,                0.96523,                 3.0384,                0.32685,                0.75537,                 1.1392,                0.00307,                0.00307,                0.00307
                     73,                0.98417,                 3.4227,                0.33792,                0.83381,                 1.1702,                0.84263,                0.77708,                 0.8707,                 0.6366,                 0.7965,                0.68202,                0.73112,                0.41625,                0.96157,                 3.0138,                0.32578,                0.75246,                  1.136,               0.002971,               0.002971,               0.002971
                     74,                0.98079,                 3.4157,                0.33659,                0.83226,                 1.1668,                0.84204,                 0.7746,                0.86957,                0.63841,                0.79806,                0.68493,                0.73294,                 0.4179,                0.95716,                 3.0103,                0.32518,                0.75197,                 1.1349,               0.002872,               0.002872,               0.002872
